,room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,latitude,longitude,collected
122,224672,1169570,Entire home/apt,,,100,4.5,4.0,1.0,1.0,119.0,2.0,25.834395,-80.120867,2016-02-12 20:44:49.605292
123,225714,52601,Entire home/apt,,,23,5.0,5.0,2.0,2.0,200.0,3.0,25.937847,-80.121555,2016-02-12 19:26:25.142847
124,227402,1169570,Entire home/apt,,,75,4.5,,2.0,2.0,169.0,2.0,25.833317,-80.119884,2016-02-13 04:16:52.905060
125,227484,1030244,Entire home/apt,,,32,4.5,4.0,2.0,2.0,254.0,4.0,25.852544,-80.122932,2016-02-12 20:19:40.757635
126,228055,1169570,Entire home/apt,,,106,4.5,4.0,1.0,1.0,119.0,2.0,25.834695,-80.120003,2016-02-12 20:38:08.817676
127,229786,1200122,Entire home/apt,,,15,5.0,,2.0,2.0,189.0,3.0,25.934385,-80.12795,2016-02-12 14:15:17.930544
128,229807,1200375,Entire home/apt,,,107,4.5,4.0,1.0,1.0,100.0,1.0,25.787273,-80.130941,2016-02-12 19:53:52.502511
129,230489,11363709,Entire home/apt,,,55,5.0,3.0,1.0,1.0,150.0,4.0,25.785466,-80.133815,2016-02-12 13:59:19.683048
130,231054,1200122,Entire home/apt,,,14,5.0,4.0,1.0,1.0,180.0,3.0,25.936218,-80.120543,2016-02-13 03:26:14.833503
131,231939,1200122,Entire home/apt,,,28,5.0,4.0,1.0,1.0,159.0,3.0,25.955939,-80.121561,2016-02-12 15:51:09.583135
132,231941,1200122,Entire home/apt,,,6,5.0,,2.0,2.0,169.0,3.0,25.956717,-80.122238,2016-02-12 16:28:51.290637
133,232005,1213543,Entire home/apt,,,16,4.5,,2.0,2.0,290.0,4.0,25.805692,-80.12384,2016-02-12 23:29:34.323776
134,232722,940274,Private room,,,257,4.5,3.0,1.0,1.0,65.0,1.0,25.788068,-80.135903,2016-02-12 17:40:21.515843
135,232743,940274,Private room,,,226,4.5,2.0,1.0,1.0,65.0,1.0,25.785795,-80.13787,2016-02-13 01:01:56.429167
136,235121,1151354,Entire home/apt,,,101,4.5,2.0,1.0,1.0,95.0,2.0,25.786104,-80.133248,2016-02-13 01:23:38.378270
137,239255,904530,Private room,,,91,4.5,2.0,1.0,,75.0,1.0,25.832131,-80.182061,2016-02-13 05:16:44.316128
138,241081,1236691,Private room,,,26,4.0,5.0,1.0,,105.0,1.0,25.834375,-80.11958,2016-02-13 03:46:32.653167
139,242588,1269985,Entire home/apt,,,37,5.0,,3.0,2.0,320.0,3.0,25.762031,-80.191337,2016-02-12 19:11:32.777748
140,243396,64078,Entire home/apt,,,93,4.5,4.0,1.0,1.0,120.0,1.0,25.785532,-80.1343,2016-02-13 02:29:24.068931
141,247468,1278036,Entire home/apt,,,13,4.5,,3.0,,249.0,1.0,25.765322,-80.130246,2016-02-12 18:52:36.259822
142,249135,959414,Entire home/apt,,,128,4.5,5.0,1.0,,139.0,3.0,25.770098,-80.190979,2016-02-12 23:02:17.639732
143,249527,1200122,Entire home/apt,,,24,5.0,,2.0,2.0,159.0,3.0,25.943292,-80.125069,2016-02-12 18:00:30.977900
144,250597,1151354,Entire home/apt,,,79,4.5,2.0,1.0,1.0,115.0,2.0,25.785385,-80.134679,2016-02-12 20:45:14.119245
145,251276,1151354,Entire home/apt,,,98,4.5,2.0,1.0,1.0,95.0,2.0,25.785816,-80.13269,2016-02-12 15:53:44.260819
146,251904,1321515,Entire home/apt,,,78,4.0,4.0,1.0,1.0,120.0,1.0,25.818821,-80.123361,2016-02-12 20:32:03.618862
147,252001,19793,Entire home/apt,,,17,4.5,4.0,1.0,1.0,220.0,2.0,25.844798,-80.184322,2016-02-12 18:29:12.531177
148,253153,1329108,Entire home/apt,,,29,5.0,3.0,1.0,1.0,195.0,2.0,25.768239,-80.190706,2016-02-13 00:35:33.614706
149,253532,1151354,Entire home/apt,,,65,4.5,2.0,1.0,1.0,115.0,2.0,25.783856,-80.134008,2016-02-12 19:36:34.637172
150,253534,1151354,Entire home/apt,,,41,4.0,2.0,1.0,1.0,125.0,181.0,25.786106,-80.133399,2016-02-12 16:48:34.073334
151,255391,1342021,Entire home/apt,,,33,5.0,2.0,1.0,1.0,100.0,5.0,25.831604,-80.18218,2016-02-12 19:35:54.816855
152,255659,1151354,Entire home/apt,,,106,4.5,2.0,1.0,1.0,90.0,2.0,25.786048,-80.133068,2016-02-12 23:04:20.738536
153,255663,1151354,Entire home/apt,,,125,4.5,2.0,1.0,1.0,90.0,2.0,25.784746,-80.132739,2016-02-13 00:29:46.935630
154,257114,232140,Entire home/apt,,,175,5.0,3.0,1.0,1.0,85.0,2.0,25.771553,-80.131267,2016-02-12 17:10:43.860791
155,262622,1378178,Entire home/apt,,,17,5.0,3.0,1.0,1.0,125.0,2.0,25.795471,-80.132023,2016-02-12 18:55:14.062999
156,266782,1398928,Entire home/apt,,,5,4.5,,2.0,2.0,400.0,,25.829021,-80.121661,2016-02-13 00:43:33.121965
157,266884,1151354,Entire home/apt,,,91,4.5,2.0,1.0,1.0,125.0,181.0,25.785273,-80.13494,2016-02-12 16:06:01.493322
158,266986,1398928,Entire home/apt,,,4,5.0,,2.0,2.0,350.0,,25.828701,-80.119999,2016-02-12 15:08:54.570542
159,267618,1398928,Entire home/apt,,,4,4.5,,2.0,2.0,350.0,,25.830619,-80.121885,2016-02-12 15:07:32.840011
160,267681,1236691,Private room,,,31,4.5,5.0,1.0,,110.0,3.0,25.833713,-80.119991,2016-02-13 03:33:21.597959
161,267730,783335,Private room,,,27,4.5,2.0,1.0,,45.0,3.0,25.776636,-80.336515,2016-02-13 01:44:49.456141
162,270076,1200122,Entire home/apt,,,29,4.5,,2.0,2.0,159.0,3.0,25.932989,-80.126096,2016-02-12 14:56:37.288660
163,271072,233818,Private room,,,11,5.0,2.0,1.0,1.0,130.0,1.0,25.786386,-80.137176,2016-02-13 00:45:21.994592
164,271596,1421303,Private room,,,27,4.0,2.0,1.0,1.0,70.0,3.0,25.852742,-80.121279,2016-02-12 18:24:56.925766
165,271605,64078,Entire home/apt,,,102,5.0,3.0,1.0,1.0,120.0,1.0,25.784635,-80.132211,2016-02-12 20:27:35.431862
166,271623,1398928,Entire home/apt,,,10,5.0,,2.0,2.0,425.0,,25.829384,-80.121599,2016-02-12 13:53:30.759827
167,271827,176418,Entire home/apt,,,90,5.0,,2.0,1.0,135.0,1.0,25.794969,-80.198405,2016-02-12 17:01:13.447830
