room_id,host_id,room_type,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,minstay,latitude,longitude,last_modified
5946832,30872836,Entire home/apt,,Dupont Circle,1,4.0,3.0,0.0,110.0,2.0,38.913205,-77.041519,2016-02-21 01:19:42.637985
4830144,4431073,Private room,,Brentwood,33,5.0,4.0,1.0,85.0,3.0,38.910226,-77.007832,2016-02-21 01:19:26.984648
3485958,6411133,Entire home/apt,,Catholic University-Brookland,0,,4.0,1.0,90.0,7.0,38.946696,-77.022929,2016-02-21 01:19:10.425383
1336920,1159249,Entire home/apt,,Capitol Hill,53,5.0,2.0,1.0,125.0,4.0,38.887533,-76.990719,2016-02-21 01:18:49.541104
2761388,14123150,Entire home/apt,,Dupont Circle,52,5.0,2.0,1.0,125.0,30.0,38.913265,-77.04171,2016-02-21 01:18:25.234243
1018211,509854,Private room,,Petworth,11,5.0,1.0,1.0,70.0,6.0,38.947551,-77.031053,2016-02-21 01:18:11.784898
5193327,49583,Entire home/apt,,The Palisades,0,,4.0,2.0,300.0,7.0,38.921973,-77.102459,2016-02-21 01:17:32.583125
1062050,5846635,Entire home/apt,,South West,31,5.0,2.0,1.0,100.0,9.0,38.876023,-77.020248,2016-02-21 01:17:15.348162
10140959,43201115,Entire home/apt,,Glover Park,0,,5.0,2.0,155.0,2.0,38.919969,-77.069737,2016-02-21 01:17:09.772134
6506289,34012115,Shared room,,Stadium-Armory,0,,2.0,1.0,125.0,1.0,38.891976,-76.983493,2016-02-21 01:17:02.004339
9256853,40703062,Entire home/apt,,Capitol Hill,0,,,6.0,299.0,1.0,38.896571,-76.990001,2016-02-21 01:16:59.454012
6898124,36146278,Private room,,South West,6,5.0,2.0,1.0,95.0,1.0,38.873355,-77.016832,2016-02-21 01:16:50.792892
4870349,1546598,Private room,,Catholic University-Brookland,49,5.0,2.0,1.0,67.0,2.0,38.949193,-77.023407,2016-02-21 01:16:33.260149
6946788,36423516,Private room,,Catholic University-Brookland,2,5.0,2.0,1.0,49.0,2.0,38.934571,-76.974522,2016-02-21 01:16:23.886457
3516422,4897930,Entire home/apt,,Adams Morgan,52,4.0,4.0,1.0,125.0,3.0,38.92521,-77.037361,2016-02-21 01:16:15.190337
2460367,8160186,Entire home/apt,,Capitol Hill,10,4.5,,2.0,250.0,3.0,38.900642,-76.997296,2016-02-21 01:16:10.650325
1466883,260197,Entire home/apt,,Dupont Circle,38,4.5,4.0,1.0,135.0,2.0,38.910488,-77.048675,2016-02-21 01:16:01.932673
8473006,19433408,Private room,,Fort Totten-Upper Northeast,0,,2.0,1.0,120.0,2.0,38.954808,-77.012922,2016-02-21 01:15:57.570759
9341616,37098846,Entire home/apt,,Columbia Heights,0,,2.0,1.0,100.0,4.0,38.933254,-77.032237,2016-02-21 01:15:49.087213
9712867,36051308,Entire home/apt,,Au-Tenleytown,0,,3.0,1.0,70.0,180.0,38.928829,-77.082717,2016-02-21 01:15:33.513271
9427051,24843358,Entire home/apt,,Shaw,0,,4.0,1.0,99.0,2.0,38.907243,-77.025593,2016-02-21 01:15:28.689617
4351015,9875908,Private room,,Dupont Circle,11,4.5,1.0,1.0,74.0,2.0,38.915207,-77.038391,2016-02-21 01:15:18.026524
8989802,5877990,Entire home/apt,,Foggy Bottom,1,4.0,2.0,1.0,95.0,1.0,38.89712,-77.045388,2016-02-21 01:15:10.863446
6056411,28169869,Entire home/apt,,Shaw,5,5.0,3.0,1.0,130.0,2.0,38.909265,-77.022432,2016-02-21 01:15:02.610320
10060867,50521917,Entire home/apt,,Takoma Park,0,,,3.0,235.0,3.0,38.990735,-77.044905,2016-02-21 01:14:47.901946
8479494,44658525,Entire home/apt,,Glover Park,3,5.0,,6.0,1500.0,1.0,38.925522,-77.073257,2016-02-21 01:14:34.110373
8524607,7302614,Private room,,Catholic University-Brookland,0,,5.0,1.0,140.0,1.0,38.92839,-77.007208,2016-02-21 01:14:22.243093
9970635,51235200,Entire home/apt,,Dupont Circle,2,5.0,3.0,1.0,120.0,1.0,38.915582,-77.039288,2016-02-21 01:14:17.951612
807680,25188,Entire home/apt,,Foggy Bottom,0,,2.0,1.0,249.0,4.0,38.903471,-77.050133,2016-02-21 01:14:00.027676
7563777,9623490,Entire home/apt,,Cleveland Park,0,,2.0,1.0,95.0,2.0,38.935269,-77.055935,2016-02-21 01:13:54.500622
9876709,21179167,Entire home/apt,,Logan Circle,0,,3.0,1.0,90.0,1.0,38.910541,-77.027112,2016-02-21 01:13:50.678149
